,id,host_id,latitude,longitude,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
id,1.0,0.5814880349690635,-0.008035848058072384,0.10132196925071632,-0.01791471983233599,-0.013737173548966454,-0.32048134629362235,0.17893443921201868,0.125602622493194,0.07328083848909588
host_id,0.5814880349690635,1.0,0.01594961875235587,0.1442591876302979,-0.034762268547287235,-0.01795070826916392,-0.1366244772137614,0.20824386706053885,0.14727069011662172,0.19363334921504854
latitude,-0.008035848058072384,0.01594961875235587,1.0,0.09136607152967488,0.06874664317742606,0.02590676409790383,-0.01249711767375776,-0.017957168377314547,0.02142273685503288,-0.017404803041256765
longitude,0.10132196925071632,0.1442591876302979,0.09136607152967488,1.0,-0.3069683391654519,-0.06424600970361037,0.05379420171226353,0.14048179202650918,-0.10765949509915645,0.09696239811785864
price,-0.01791471983233599,-0.034762268547287235,0.06874664317742606,-0.3069683391654519,1.0,0.031476137483549715,-0.027606372811451653,-0.0472927032885095,0.17440896918173512,0.06667041825004472
minimum_nights,-0.013737173548966454,-0.01795070826916392,0.02590676409790383,-0.06424600970361037,0.031476137483549715,1.0,-0.08286005485101704,-0.1277670276061131,0.13365872172026724,0.1464258602263491
number_of_reviews,-0.32048134629362235,-0.1366244772137614,-0.01249711767375776,0.05379420171226353,-0.027606372811451653,-0.08286005485101704,1.0,0.593745859337302,-0.0705337712308109,0.18355950531284856
reviews_per_month,0.17893443921201868,0.20824386706053885,-0.017957168377314547,0.14048179202650918,-0.0472927032885095,-0.1277670276061131,0.593745859337302,1.0,-0.05104950819276326,0.1713847401411363
calculated_host_listings_count,0.125602622493194,0.14727069011662172,0.02142273685503288,-0.10765949509915645,0.17440896918173512,0.13365872172026724,-0.0705337712308109,-0.05104950819276326,1.0,0.22563869375076312
availability_365,0.07328083848909588,0.19363334921504854,-0.017404803041256765,0.09696239811785864,0.06667041825004472,0.1464258602263491,0.18355950531284856,0.1713847401411363,0.22563869375076312,1.0
